fecha,ice_conc,temperatura,espesor_de_hielo
2015-01-01,0.43,269.48,0.02
2015-01-02,0.4,270.0,0.56
2015-01-03,1.96,267.08,0.69
2015-01-04,1.92,272.48,0.46
2015-01-05,0.54,273.4,0.43
2015-01-06,5.82,273.56,0.26
2015-01-07,2.46,271.64,0.13
2015-01-08,1.05,272.45,0.0
2015-01-09,0.72,272.71,0.0
2015-01-10,0.34,271.9,0.0
2015-01-11,0.0,270.9,0.0
2015-01-12,1.2,271.89,0.0
2015-01-13,0.9,274.0,0.18
2015-01-14,0.03,271.02,0.51
2015-01-15,3.38,266.61,1.22
2015-01-16,1.48,268.2,1.68
2015-01-17,0.3,272.73,1.61
2015-01-18,0.12,270.46,1.86
2015-01-19,2.11,274.02,1.61
2015-01-20,4.9,273.7,1.69
2015-01-21,0.41,271.97,1.4
2015-01-22,0.0,272.2,1.11
2015-01-23,0.95,272.28,1.05
2015-01-24,0.51,273.67,0.39
2015-01-25,1.75,273.33,0.06
2015-01-26,0.21,272.68,0.02
2015-01-27,0.62,273.51,0.02
2015-01-28,0.7,272.36,0.04
2015-01-29,0.0,271.17,0.04
2015-01-30,0.48,271.63,0.02
2015-01-31,0.0,270.73,0.06
2015-02-01,0.54,269.38,0.12
2015-02-02,2.4,269.32,0.11
2015-02-03,3.34,272.77,0.13
2015-02-04,1.54,273.36,0.11
2015-02-05,0.62,272.79,0.11
2015-02-06,0.0,273.02,0.07
2015-02-07,0.0,274.02,0.04
2015-02-08,0.23,272.68,0.04
2015-02-09,0.9,271.59,0.03
2015-02-10,0.0,272.51,0.03
2015-02-11,0.0,270.52,0.13
2015-02-12,0.0,269.71,0.22
2015-02-13,1.32,272.83,0.23
2015-02-14,1.02,272.27,0.22
2015-02-15,0.0,272.07,0.15
2015-02-16,0.19,272.04,0.15
2015-02-17,0.0,273.58,0.07
2015-02-18,0.33,273.22,0.02
2015-02-19,0.58,271.87,0.02
2015-02-20,1.06,273.44,0.01
2015-02-21,1.23,273.96,0.01
2015-02-22,0.92,271.88,0.01
2015-02-23,0.76,272.8,0.01
2015-02-24,4.58,272.77,0.02
2015-02-25,2.34,271.24,0.03
2015-02-26,1.31,272.2,0.04
2015-02-27,0.3,271.74,0.06
2015-02-28,1.86,270.79,0.08
2015-03-01,0.04,270.43,0.12
2015-03-02,0.57,273.44,0.09
2015-03-03,0.0,273.22,0.07
2015-03-04,0.0,273.96,0.03
2015-03-05,0.0,273.48,0.01
2015-03-06,0.0,272.74,0.02
2015-03-07,0.0,271.4,0.05
2015-03-08,0.14,271.94,0.01
2015-03-09,0.0,274.18,0.0
2015-03-10,0.65,273.83,0.0
2015-03-11,0.0,273.35,0.02
2015-03-12,0.0,273.47,0.0
2015-03-13,0.52,272.59,0.0
2015-03-14,0.92,271.83,0.0
2015-03-15,0.63,271.18,0.02
2015-03-16,0.0,271.32,0.02
2015-03-17,0.04,269.66,0.06
2015-03-18,1.6,272.94,0.07
2015-03-19,1.92,272.39,0.08
2015-03-20,1.17,273.11,0.07
2015-03-21,0.14,273.22,0.06
2015-03-22,0.65,272.75,0.04
2015-03-23,0.5,273.54,0.03
2015-03-24,0.77,271.24,0.04
2015-03-25,7.24,268.68,0.04
2015-03-26,1.6,271.33,0.01
2015-03-27,2.21,272.0,0.01
2015-03-28,0.54,272.73,0.06
2015-03-29,0.19,273.24,0.06
2015-03-30,0.19,274.76,0.07
2015-03-31,0.0,273.09,0.06
2015-04-01,0.52,272.67,0.03
2015-04-02,0.22,273.4,0.03
2015-04-03,0.0,272.82,0.01
2015-04-04,0.04,273.34,0.0
2015-04-05,0.0,273.59,0.0
2015-04-06,0.0,273.01,0.0
2015-04-07,0.0,273.16,0.0
2015-04-08,0.0,270.58,0.0
2015-04-09,0.0,272.2,0.05
2015-04-10,0.0,272.21,0.05
2015-04-11,0.3,272.03,0.07
2015-04-12,1.52,270.53,0.12
2015-04-13,0.34,270.08,0.15
2015-04-14,0.21,267.49,0.21
2015-04-15,0.0,273.35,0.18
2015-04-16,0.21,267.93,0.2
2015-04-17,0.08,267.13,0.25
2015-04-18,0.0,270.65,0.22
2015-04-19,0.25,272.68,0.13
2015-04-20,0.25,271.88,0.11
2015-04-21,0.0,273.75,0.08
2015-04-22,0.0,273.06,0.05
2015-04-23,0.0,273.28,0.05
2015-04-24,0.0,271.68,0.0
2015-04-25,0.0,269.51,0.02
2015-04-26,0.0,272.42,0.03
2015-04-27,0.0,271.98,0.04
2015-04-28,0.0,270.59,0.07
2015-04-29,0.4,267.71,0.14
2015-04-30,0.19,275.5,0.11
2015-05-01,0.48,275.79,0.08
2015-05-02,0.07,272.45,0.04
2015-05-03,0.54,268.86,0.02
2015-05-04,0.0,268.85,0.14
2015-05-05,0.08,266.18,0.22
2015-05-06,0.1,269.36,0.22
2015-05-07,0.0,274.53,0.22
2015-05-08,0.0,272.32,0.22
2015-05-09,0.0,274.22,0.22
2015-05-10,0.0,272.65,0.06
2015-05-11,0.0,269.04,0.04
2015-05-12,0.15,271.55,0.02
2015-05-13,0.0,272.44,0.07
2015-05-14,0.0,271.98,0.07
2015-05-15,0.0,271.46,0.09
2015-05-16,0.0,272.63,0.09
2015-05-17,0.0,268.74,0.17
2015-05-18,0.0,271.83,0.08
2015-05-19,0.0,272.22,0.05
2015-05-20,0.0,272.47,0.0
2015-05-21,1.93,271.94,0.06
2015-05-22,1.93,269.01,0.11
2015-05-23,1.31,266.76,0.21
2015-05-24,4.0,270.81,0.23
2015-05-25,7.93,270.41,0.21
2015-05-26,8.19,268.06,0.33
2015-05-27,6.94,272.83,0.31
2015-05-28,6.98,273.13,0.15
2015-05-29,3.86,271.09,0.09
2015-05-30,5.19,270.53,0.12
2015-05-31,1.21,271.27,0.07
2015-06-01,0.83,272.59,0.07
2015-06-02,0.44,271.29,0.19
2015-06-03,0.88,273.21,0.19
2015-06-04,1.54,272.85,0.12
2015-06-05,5.61,271.77,0.12
2015-06-06,5.03,272.18,0.1
2015-06-07,9.16,273.05,0.08
2015-06-08,7.01,273.26,0.0
2015-06-09,3.59,269.39,0.0
2015-06-10,2.37,272.98,0.04
2015-06-11,4.62,272.91,0.03
2015-06-12,7.81,272.07,0.0
2015-06-13,11.24,273.19,0.0
2015-06-14,15.39,271.56,0.02
2015-06-15,17.38,268.9,0.03
2015-06-16,22.23,273.51,0.0
2015-06-17,24.23,271.23,0.02
2015-06-18,28.39,274.86,0.0
2015-06-19,21.34,271.36,0.0
2015-06-20,13.78,272.46,0.03
2015-06-21,19.72,270.83,0.01
2015-06-22,25.35,268.96,0.02
2015-06-23,23.72,272.56,0.04
2015-06-24,20.62,273.05,0.03
2015-06-25,17.31,270.0,0.08
2015-06-26,11.56,273.6,0.03
2015-06-27,10.84,272.24,0.08
2015-06-28,19.6,270.37,0.1
2015-06-29,20.95,270.7,0.05
2015-06-30,24.03,268.24,0.22
2015-07-01,27.3,273.4,0.24
2015-07-02,25.3,273.83,0.14
2015-07-03,28.26,269.85,0.29
2015-07-04,35.19,273.68,0.14
2015-07-05,44.06,265.2,0.14
2015-07-06,47.85,267.75,0.17
2015-07-07,43.96,273.54,0.06
2015-07-08,41.45,268.98,0.1
2015-07-09,36.25,264.37,0.22
2015-07-10,26.63,271.52,0.16
2015-07-11,15.66,273.51,0.14
2015-07-12,21.61,273.06,0.09
2015-07-13,23.97,272.21,0.03
2015-07-14,28.01,271.55,0.03
2015-07-15,30.98,270.22,0.03
2015-07-16,29.79,272.32,0.0
2015-07-17,27.06,273.4,0.0
2015-07-18,27.19,271.53,0.0
2015-07-19,31.63,271.47,0.0
2015-07-20,37.68,270.17,0.07
2015-07-21,37.14,271.67,0.23
2015-07-22,43.08,269.9,0.34
2015-07-23,44.66,272.03,0.79
2015-07-24,47.93,269.38,1.01
2015-07-25,49.43,272.21,1.24
2015-07-26,59.01,269.32,1.14
2015-07-27,56.43,273.74,0.95
2015-07-28,54.5,272.74,0.59
2015-07-29,55.42,270.23,0.41
2015-07-30,56.55,269.96,0.16
2015-07-31,52.98,275.05,0.05
2015-08-01,52.52,271.84,0.06
2015-08-02,52.3,266.58,0.01
2015-08-03,50.55,264.28,0.13
2015-08-04,46.51,262.17,0.36
2015-08-06,35.5,261.27,0.42
2015-08-07,36.86,256.93,0.61
2015-08-08,36.57,260.82,0.76
2015-08-09,32.39,261.08,0.87
2015-08-10,30.0,260.1,0.97
2015-08-11,35.27,264.21,0.95
2015-08-12,34.25,267.16,0.89
2015-08-13,32.36,270.09,0.96
2015-08-14,21.88,268.83,0.91
2015-08-15,22.06,270.3,0.89
2015-08-16,30.68,273.39,0.69
2015-08-17,38.1,273.63,0.37
2015-08-18,52.72,275.34,0.09
2015-08-19,62.06,270.87,0.01
2015-08-20,64.79,261.03,0.02
2015-08-21,72.15,262.31,0.1
2015-08-22,68.32,260.44,0.34
2015-08-23,60.17,258.76,0.97
2015-08-24,54.41,262.41,1.23
2015-08-25,49.56,254.8,1.41
2015-08-26,46.17,256.33,1.46
2015-08-27,44.4,258.29,1.61
2015-08-28,44.8,256.82,1.66
